formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C30H50O4	[M + Na]+	C30H50O4	17.675596216206166	12.998068495492785	4.677527720713381	2	1.0	-0.3282556466190551	0.3282556466190551	-0.30316088260136326		497.35998	418.30875000000003	44_group2_sirius_15648	15648
1	C28H52O5	[M + H]+	C28H52O5	30.88732101577171	30.88732101577171	0.0	9	0.7597903452086936	7.395680193141684	7.395680193141684	1.0413189477350024		469.38924	409.275	45_group2_sirius_15392	15392
1	C29H53N15O5	[M + H]+	C29H53N15O5	21.68899299700999	21.68899299700999	0.0	7	0.8036059754188215	5.106914457109923	5.106914457109923	0.22204274574552196		692.44284	254.8225	46_group2_sirius_7749	7749
1	C20H51N11O8	[M + H3N + H]+	C20H54N12O8	14.435285523661168	14.435285523661168	0.0	3	0.8322944427324952	-0.31176536051745185	1.8518681803269446	2.1758546924105113		591.42732	382.5948921585083	47_group2_sirius_13743	13743
1	C37H62O6	[M + Na]+	C37H62O6	3.5	3.5	0.0	1	0.0	NaN	NaN	-2.366971183752188		625.44238	384.55	48_group2_sirius_13912	13912
1	C22H32O2S	[M + H]+	C22H32O2S	40.28972857387394	37.16190272996296	3.1278258439109754	12	0.962837341894817	2.9845108999237038	3.249735104136486	0.8922097301322562		361.21990	282.05921875	49_group2_sirius_9295	9295
1	C28H48O13	[M - H4O2 + H]+	C28H44O11	36.3594255857864	36.3594255857864	0.0	12	0.9012365066260029	4.118773556128518	4.118773556128518	-64634.168354171736		557.29638	267.24250000000006	50_group2_sirius_8566	8566
1	C20H40N2O9S	[M + H]+	C20H40N2O9S	6.604027996074872	-0.6897925756168375	7.293820571691709	1	0.0	-0.9692115447220349	0.9692115447220349	-0.5529329836976934		485.25246	386.81	51_group2_sirius_13963	13963
1	C10H10N4O3S2	[M + H]+	C10H10N4O3S2	10.30096028927851	10.30096028927851	0.0	6	0.8875649497248046	3.0440469759686524	3.0440469759686524	0.40587632057781264		299.02683	159.5464312737705	52_group2_sirius_2663	2663
1	C14H22O4	[M - H2O + H]+	C14H20O3	162.40997642293024	159.09073373485262	3.319242688077628	45	0.9941127646132638	3.545481982933972	3.6623711029951904	-75946.03719166334		237.14859	197.9132413142201	53_group2_sirius_4670	4670
1	C16H34N2O	[M + H]+	C16H34N2O	41.9708842323395	36.41305692339738	5.557827308942125	15	0.9738421376920585	8.089787296716734	8.089787296716734	-0.4060838001835452		271.27428	253.89875	54_group2_sirius_7677	7677
