ID1,ID2,EdgeType,Score,Annotation
9558,9560,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
9589,9620,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
9734,9871,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0269
9757,9761,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
9802,9825,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
9941,9947,MS1 annotation,6.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0260
9941,9953,MS1 annotation,6.000,[M-H2O+2H]+2 [M+NH4]+ dm/z=197.1051
9941,9948,MS1 annotation,6.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
9944,9947,MS1 annotation,6.000,[2M+2H]+2 [M+K]+ dm/z=37.9551
9944,9953,MS1 annotation,6.000,[M-H2O+2H]+2 [M+K]+ dm/z=218.0342
9944,9948,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9734
9944,9955,MS1 annotation,6.000,[2M+Na]+ [M+K]+ dm/z=326.1732
9948,9953,MS1 annotation,6.000,[M-H2O+2H]+2 [M+Na]+ dm/z=202.0608
9966,9978,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
10094,10095,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
10196,10265,MS1 annotation,5.000,[2M+Na]+ [M+NH4]+ dm/z=347.1017
10196,10259,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9291
10196,10241,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
10196,10356,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
10221,10244,MS1 annotation,2.000,[M-H2O+NH4]+ [2M+K]+ dm/z=202.0016
10232,10247,MS1 annotation,2.000,[2M-H+2Na]+ [M-H2O+NH4]+ dm/z=208.0202
10236,10247,MS1 annotation,2.000,[M-H2O-H+2Na]+ [M+H]+ dm/z=25.9539
10241,10259,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9736
10241,10356,MS1 annotation,5.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
10259,10265,MS1 annotation,5.000,[2M+Na]+ [M+K]+ dm/z=326.1726
10259,10356,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9555
10265,10356,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=364.1281
10323,10329,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
10323,10329,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9823
10393,10394,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
10394,10398,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
10430,10431,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0268
10430,10445,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9831
10431,10445,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9563
10460,10469,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
10485,10537,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
10542,10544,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9821
10572,10593,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
10629,10638,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
10676,10693,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
10676,10693,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9823
10736,10746,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
10787,10791,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
10834,10856,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0374
10834,10856,MS1 annotation,2.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0374
10838,10843,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
10838,10848,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
10843,10848,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
10865,10876,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
10899,10904,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
10899,10908,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
10899,10904,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
10899,10908,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
10900,10905,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
10900,10905,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
10904,10908,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
10918,10923,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0268
10918,10923,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0268
10922,10924,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
10924,10930,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
10970,10972,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
10970,10971,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
10971,10972,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
10993,10997,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9546
11037,11039,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
11098,11108,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
11108,11120,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
11109,11142,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
11210,11236,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
11210,11236,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
11283,11284,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
11283,11285,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
11283,11284,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
11283,11285,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9823
11284,11285,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
