Filename	Sample_Type	Subject	Timepoint_min	Sampling_Location	Comments
skin_03_360_OF.mzXML	skin	Subject_3	360	forearm	
skin_03_360_UB.mzXML	skin	Subject_3	360	upper back	
skin_03_480_FH.mzXML	skin	Subject_3	480	forehead	
skin_03_480_OF.mzXML	skin	Subject_3	480	forearm	
skin_03_480_UB.mzXML	skin	Subject_3	480	upper back	
skin_03_60_FH.mzXML	skin	Subject_3	60	forehead	
skin_03_60_OF.mzXML	skin	Subject_3	60	forearm	
skin_03_60_UB.mzXML	skin	Subject_3	60	upper back	
skin_03_600_FH.mzXML	skin	Subject_3	600	forehead	
skin_03_600_OF.mzXML	skin	Subject_3	600	forearm	
skin_03_600_UB.mzXML	skin	Subject_3	600	upper back	
skin_03_720_FH.mzXML	skin	Subject_3	720	forehead	
skin_03_720_OF.mzXML	skin	Subject_3	720	forearm	
skin_03_720_UB.mzXML	skin	Subject_3	720	upper back	
skin_03_90_FH.mzXML	skin	Subject_3	90	forehead	
skin_03_90_OF.mzXML	skin	Subject_3	90	forearm	
skin_03_90_UB.mzXML	skin	Subject_3	90	upper back	
skin_04_0_FH.mzXML	skin	Subject_4	0	forehead	
skin_04_0_OF.mzXML	skin	Subject_4	0	forearm	
skin_04_0_UB.mzXML	skin	Subject_4	0	upper back	
skin_04_120_FH.mzXML	skin	Subject_4	120	forehead	
skin_04_120_OF.mzXML	skin	Subject_4	120	forearm	
skin_04_120_UB.mzXML	skin	Subject_4	120	upper back	
skin_04_1440_FH.mzXML	skin	Subject_4	1440	forehead	
skin_04_1440_OF.mzXML	skin	Subject_4	1440	forearm	
skin_04_1440_UB.mzXML	skin	Subject_4	1440	upper back	
skin_04_240_FH.mzXML	skin	Subject_4	240	forehead	
skin_04_240_OF.mzXML	skin	Subject_4	240	forearm	
skin_04_240_UB.mzXML	skin	Subject_4	240	upper back	
skin_04_30_FH.mzXML	skin	Subject_4	30	forehead	
skin_04_30_OF.mzXML	skin	Subject_4	30	forearm	
skin_04_30_UB.mzXML	skin	Subject_4	30	upper back	
skin_04_360_FH.mzXML	skin	Subject_4	360	forehead	
skin_04_360_OF.mzXML	skin	Subject_4	360	forearm	
skin_04_360_UB.mzXML	skin	Subject_4	360	upper back	
skin_04_480_FH.mzXML	skin	Subject_4	480	forehead	
skin_04_480_OF.mzXML	skin	Subject_4	480	forearm	
skin_04_480_UB.mzXML	skin	Subject_4	480	upper back	
skin_04_60_FH.mzXML	skin	Subject_4	60	forehead	
skin_04_60_OF.mzXML	skin	Subject_4	60	forearm	
skin_04_60_UB.mzXML	skin	Subject_4	60	upper back	
skin_04_600_FH.mzXML	skin	Subject_4	600	forehead	
